date,tmax,tmin,tmean,sun_hrs,snow_depth_cm,precip_mm,rad_W_m2,sl_press_hPA,hum_perc,cc_oktas
20211003,181,102,141,54,0,26,46,9981,79,4
20211004,154,101,141,44,0,120,134,10079,82,6
20211005,176,108,131,32,0,0,115,10026,78,5
20211006,181,89,132,84,0,0,101,10189,68,2
20211007,177,118,149,0,0,2,154,10261,90,8
20211008,191,138,158,0,0,2,38,10296,88,7
20211009,189,76,133,57,0,0,63,10286,85,2
20211010,161,85,137,39,0,0,130,10295,81,4
20211011,168,78,119,40,0,0,97,10305,79,1
20211012,162,68,118,21,0,0,118,10260,85,6
20211013,193,73,118,18,0,0,97,10279,83,5
20211014,150,97,145,32,0,0,94,10236,80,7
20211015,177,124,137,5,0,8,99,10204,75,7
20211016,179,82,129,25,0,0,74,10203,85,5
20211017,183,88,133,7,0,2,85,10174,87,6
20211018,209,72,128,0,0,14,68,10161,93,6
20211019,191,133,171,13,0,184,52,10117,86,8
20211020,124,151,171,41,0,198,76,9983,82,6
20211021,147,80,102,68,0,0,106,10083,70,3
20211022,139,48,98,32,0,0,,10212,76,5
20211023,157,89,114,0,0,0,94,10248,74,8
20211024,177,110,133,37,0,6,64,10178,74,6
20211025,171,97,137,50,0,4,93,10152,84,3
20211026,176,82,127,7,0,0,97,10181,87,7
20211027,154,115,146,18,0,0,60,10180,77,8
20211028,156,122,138,5,0,24,61,10086,80,5
20211029,156,129,142,14,0,30,52,9984,81,6
20211030,158,85,121,37,0,62,66,9970,83,4
20211031,149,61,109,27,0,18,84,9928,79,4
20211101,131,91,120,60,0,2,63,9945,73,2
20211102,105,17,74,69,0,0,92,9990,84,1
20211103,101,7,56,34,0,4,95,10045,89,4
20211104,111,45,73,4,0,0,63,10150,79,6
20211105,132,6,58,51,0,0,46,10264,82,3
20211106,130,32,82,2,0,0,79,10249,81,7
20211107,126,78,104,51,0,0,52,10212,68,1
20211108,165,35,81,3,0,0,83,10237,86,5
20211109,136,66,116,33,0,0,59,10234,80,5
20211110,155,85,111,0,0,6,59,10230,93,8
20211111,152,95,125,12,0,2,30,10226,89,6
20211112,128,63,108,7,0,8,49,10117,89,6
20211113,131,97,112,0,0,0,36,10158,79,7
20211114,120,100,116,0,0,0,29,10239,83,8
20211115,114,102,111,0,0,0,21,10269,83,7
20211116,127,20,67,18,0,2,25,10229,87,5
20211117,138,34,81,57,0,0,52,10242,84,0
20211118,120,39,88,19,0,0,66,10290,87,5
20211119,108,87,103,0,0,0,44,10307,86,8
20211120,86,97,102,0,0,0,16,10241,84,8
20211121,100,50,68,24,0,0,19,10197,76,4
20211122,102,35,68,58,0,0,52,10300,80,0
20211123,74,6,54,50,0,2,66,10323,88,2
20211124,74,23,48,0,0,0,52,10221,88,8
20211125,94,32,53,60,0,0,25,10164,76,3
20211126,51,15,55,8,0,62,60,9963,79,6
20211127,43,26,39,0,0,10,29,9940,80,8
20211128,97,-6,19,51,0,0,29,10069,67,3
20211129,120,-33,32,7,0,0,59,10146,86,4
20211130,101,-5,58,0,0,4,38,10103,84,8
20211201,66,79,90,23,0,4,32,9992,78,6
20211202,95,6,36,55,0,6,48,10118,74,3
20211203,84,-1,47,2,0,22,16,10049,90,7
20211204,67,50,67,46,0,34,43,9980,81,4
20211205,79,42,55,0,0,2,13,10064,84,7
20211206,82,17,48,0,0,16,13,10100,88,6
20211207,83,12,47,0,0,74,13,9975,86,6
20211208,91,47,65,1,0,0,15,9911,71,4
20211209,79,33,62,24,0,84,31,9991,78,5
20211210,126,42,60,43,0,42,40,9994,76,1
20211211,142,13,70,1,0,16,14,10156,89,7
20211212,116,39,91,5,0,2,18,10196,90,8
20211213,132,93,104,0,0,0,12,10233,89,8
20211214,131,86,109,0,0,0,12,10266,90,7
20211215,119,92,112,0,0,0,12,10307,80,8
20211216,96,101,110,0,0,0,12,10380,73,8
20211217,91,93,94,1,0,0,14,10404,82,8
20211218,65,71,81,0,0,0,12,10391,92,8
20211219,71,40,52,0,0,0,12,10347,98,8
20211220,63,30,50,0,0,0,12,10288,81,8
20211221,74,49,56,0,0,2,12,10253,78,6
20211222,113,-19,28,0,0,2,12,10192,86,6
20211223,105,-1,56,0,0,0,12,10081,93,7
20211224,79,54,80,0,0,134,12,10043,97,7
20211225,97,79,79,0,0,174,12,10034,96,8
20211226,112,54,75,0,0,2,12,10005,99,8
20211227,118,58,85,0,0,50,12,9921,97,8
20211228,153,82,100,1,0,12,14,9926,85,8
20211229,150,71,112,0,0,8,12,10043,90,6
20211230,153,98,124,0,0,26,12,10126,88,8
20211231,157,124,138,9,0,0,22,10167,86,7
20220101,123,123,140,8,0,12,35,10173,85,7
20220102,108,105,114,3,0,4,29,10105,86,6
20220103,79,87,98,0,0,4,25,10079,84,6
20220104,66,74,77,0,0,40,22,10015,86,6
20220105,74,10,38,51,0,0,27,10139,78,0
20220106,75,-35,19,9,0,12,44,10164,88,4
20220107,105,0,38,26,0,4,31,10107,85,3
20220108,89,-1,52,0,0,48,29,10015,89,7
20220109,92,18,53,47,0,0,17,10030,82,1
20220110,104,20,56,0,0,6,44,10184,93,8
20220111,91,46,75,0,0,26,16,10299,95,8
20220112,96,8,50,53,0,0,24,10406,92,0
20220113,95,-9,43,58,0,2,56,10412,89,0
20220114,58,-15,40,58,0,0,58,10361,89,0
20220115,95,-8,25,0,0,2,52,10265,94,8
20220116,103,22,58,15,0,0,28,10271,92,6
20220117,75,8,55,61,0,0,42,10377,86,0
20220118,94,-32,21,17,0,2,58,10372,93,5
20220119,60,-13,40,20,0,0,48,10280,83,5
20220120,51,2,31,48,0,0,46,10360,74,3
20220121,62,-26,12,5,0,0,56,10393,80,5
20220122,62,-13,25,0,0,0,26,10376,81,7
20220123,46,48,55,0,0,0,22,10353,79,8
20220124,48,41,43,0,0,0,14,10336,80,8
20220125,89,19,34,0,0,0,13,10347,86,8
20220126,131,18,53,6,0,0,13,10328,79,7
20220127,111,44,88,17,0,0,38,10288,81,4
20220128,140,1,56,19,0,0,39,10344,87,6
20220129,89,24,82,28,0,0,63,10285,78,6
20220130,90,8,48,56,0,10,64,10299,77,3
20220131,148,20,55,66,0,0,82,10237,66,4
20220201,122,39,93,55,0,0,88,10220,77,4
20220202,103,71,97,11,0,0,74,10224,82,6
20220203,85,71,87,1,0,18,53,10148,79,7
20220204,110,43,64,28,0,20,41,10117,77,5
20220205,117,20,65,36,0,18,68,10187,78,4
20220206,110,37,77,26,0,2,72,10080,74,6
20220207,125,15,62,35,0,0,75,10254,77,4
20220208,144,38,82,0,0,0,69,10268,74,8
20220209,82,76,110,12,0,12,41,10236,84,7
20220210,94,51,67,10,0,0,65,10232,76,5
20220211,88,-2,46,49,0,0,72,10317,75,3
20220212,99,-4,42,35,0,0,94,10219,76,6
20220213,94,58,78,0,0,142,70,10016,88,8
20220214,127,53,73,23,0,14,25,9993,85,6
20220215,151,22,75,0,0,58,62,10066,90,6
20220216,124,77,114,9,0,4,31,9963,86,7
20220217,107,77,101,52,0,14,62,10081,67,5
20220218,109,78,92,25,0,2,104,9975,74,6
20220219,124,24,67,9,0,46,70,10101,79,3
20220220,117,50,87,0,0,44,41,10038,82,7
20220221,136,42,80,15,0,2,27,10099,65,4
20220222,107,44,90,23,0,0,75,10189,74,5
20220223,81,17,62,28,0,20,67,10211,81,4
20220224,115,55,68,38,0,10,86,10114,75,4
20220225,109,27,71,80,0,0,99,10256,66,1
20220226,112,-11,49,87,0,0,147,10299,74,0
20220227,124,12,62,95,0,0,141,10245,68,0
20220228,87,30,77,2,0,70,151,10240,83,6
20220301,78,76,82,0,0,118,60,10255,95,8
20220302,124,64,71,0,0,20,25,10208,91,8
20220303,74,44,84,2,0,2,45,10152,87,7
20220304,74,67,70,0,0,2,67,10192,89,8
20220305,81,55,65,0,0,4,27,10237,81,8
20220306,78,36,58,34,0,0,57,10285,67,7
20220307,129,26,52,68,0,0,128,10242,70,4
20220308,132,-7,61,73,0,0,162,10148,66,2
20220309,160,53,92,35,0,0,161,10162,75,6
20220310,125,64,112,54,0,0,127,10157,73,5
20220311,130,83,104,1,0,42,130,10047,83,6
20220312,116,71,101,59,0,12,69,10080,77,4
20220313,133,81,98,3,0,0,149,10072,83,7
20220314,160,34,83,55,0,0,111,10230,83,3
20220315,108,45,102,56,0,2,142,10218,77,6
20220316,142,73,91,0,0,108,138,10183,92,8
20220317,161,17,80,99,0,0,44,10315,70,1
20220318,141,23,92,105,0,0,203,10417,75,0
20220319,121,74,108,109,0,0,,10369,63,0
20220320,173,37,79,79,0,0,212,10281,58,2
20220321,199,3,88,89,0,0,187,10280,63,1
20220322,198,79,139,101,0,0,198,10282,58,2
20220323,190,51,124,101,0,0,209,10295,57,1
20220324,177,38,114,102,0,0,216,10298,54,0
20220325,183,47,112,98,0,0,218,10314,57,0
20220326,132,51,117,107,0,0,209,10326,58,0
20220327,168,55,93,20,0,0,214,10315,85,4
20220328,122,34,101,53,0,0,96,10225,79,5
20220329,112,74,98,1,0,4,171,10120,78,7
20220330,79,66,89,12,0,0,125,10063,81,8
20220331,92,13,46,56,0,0,122,10096,67,5
20220401,99,11,52,89,0,0,190,10171,63,2
20220402,109,0,50,70,0,0,167,10230,70,2
20220403,147,-12,48,55,0,32,155,10253,62,3
20220404,149,51,99,0,0,2,61,10128,81,8
20220405,160,73,111,4,0,8,81,10088,73,7
20220406,140,91,126,16,0,86,119,9970,78,7
20220407,117,69,104,71,0,0,197,9903,62,6
20220408,126,25,71,40,0,2,142,10010,64,4
20220409,134,9,68,75,0,0,194,10156,61,3
20220410,188,10,72,83,0,0,201,10188,58,2
20220411,186,44,116,68,0,2,206,10096,56,4
20220412,200,92,139,23,0,0,130,10061,74,6
20220413,198,101,151,21,0,0,139,10157,76,7
20220414,231,68,133,61,0,0,192,10222,72,4
20220415,198,75,153,103,0,0,242,10264,64,1
20220416,198,80,139,116,0,0,255,10295,68,0
20220417,178,71,134,108,0,0,234,10224,55,1
20220418,164,75,127,73,0,0,212,10172,59,3
20220419,191,67,116,20,0,0,124,10163,63,5
20220420,192,69,130,76,0,0,230,10160,60,3
20220421,172,69,131,125,0,0,266,10122,58,0
20220422,180,82,127,6,0,0,87,10075,65,7
20220423,189,92,136,32,0,0,187,10034,68,6
20220424,145,77,133,93,0,0,229,10084,60,2
20220425,166,63,104,29,0,32,154,10160,72,4
20220426,117,44,105,82,0,0,245,10222,61,3
20220427,149,55,86,0,0,0,108,10277,64,7
20220428,115,60,104,10,0,0,171,10310,64,5
20220429,184,57,86,6,0,0,112,10319,65,7
20220430,146,32,108,117,0,0,281,10291,60,2
20220501,171,104,125,0,0,2,100,10234,70,8
20220502,161,90,131,9,0,0,126,10211,72,8
20220503,200,106,133,0,0,0,107,10211,75,8
20220504,199,105,152,11,0,20,134,10193,78,7
20220505,233,75,137,78,0,0,240,10238,69,3
20220506,203,92,162,89,0,10,264,10251,68,2
20220507,206,124,164,23,0,8,162,10256,80,7
20220508,234,96,151,108,0,0,295,10286,63,3
20220509,209,60,147,84,0,0,248,10229,64,3
20220510,161,134,171,34,0,2,161,10148,69,7
20220511,189,117,139,11,0,32,86,10105,82,6
20220512,214,70,129,72,0,0,230,10183,68,3
20220513,234,101,158,68,0,0,245,10199,64,3
20220514,189,78,156,109,0,6,302,10207,65,3
20220515,231,129,159,0,0,26,82,10151,78,8
20220516,275,122,176,34,0,0,185,10144,77,6
20220517,231,109,192,87,0,6,290,10171,67,5
20220518,224,111,171,85,0,4,273,10187,62,3
20220519,190,139,181,80,0,12,265,10182,65,4
20220520,220,121,156,22,0,16,141,10187,73,6
20220521,238,95,158,61,0,0,249,10207,63,3
20220522,207,93,166,94,0,0,288,10133,61,2
20220523,198,113,160,13,0,46,140,10026,71,7
20220524,191,98,148,63,0,28,242,10062,73,5
20220525,218,91,141,21,0,4,157,10137,75,6
20220526,208,105,161,17,0,0,162,10213,74,6
20220527,191,130,169,119,0,0,333,10244,59,3
20220528,170,86,138,59,0,0,227,10249,56,4
20220529,161,79,124,61,0,0,222,10193,57,4
20220530,164,56,108,11,0,54,151,10136,79,6
20220531,187,86,125,30,0,66,176,10125,83,6
20220601,223,80,133,45,0,0,206,10171,69,5
20220602,233,81,152,94,0,0,285,10199,62,2
20220603,216,112,172,36,0,4,239,10179,59,7
20220604,152,121,169,29,0,106,195,10199,67,7
20220605,190,110,131,0,0,68,60,10161,91,8
20220606,224,117,153,0,0,0,110,10145,85,8
20220607,235,96,160,86,0,8,283,10116,74,5
20220608,210,141,188,74,0,0,281,10059,68,6
20220609,245,110,160,38,0,4,197,10153,73,5
20220610,238,153,199,92,0,0,278,10184,67,5
20220611,229,115,176,84,0,0,258,10216,63,3
20220612,217,107,168,81,0,0,274,10235,59,3
20220613,249,96,157,106,0,0,293,10245,57,2
20220614,279,98,174,139,0,0,354,10207,55,0
20220615,294,113,196,127,0,0,326,10185,52,1
20220616,327,138,216,117,0,0,312,10215,49,2
20220617,248,153,240,114,0,0,307,10196,48,1
20220618,197,180,214,25,0,18,147,10178,74,5
20220619,225,97,147,23,0,2,179,10151,67,7
20220620,262,114,169,139,0,0,361,10185,57,2
20220621,279,106,184,135,0,0,332,10147,50,0
20220622,267,125,202,141,0,2,348,10133,50,0
20220623,225,139,203,13,0,0,179,10096,66,6
20220624,223,145,185,30,0,16,164,10047,72,6
20220625,228,124,174,67,0,0,254,10077,67,4
20220626,210,110,169,111,0,0,298,10121,57,3
20220627,232,117,164,46,0,4,207,10162,67,4
20220628,220,112,172,77,0,6,279,10175,60,4
20220629,207,143,181,16,0,2,187,10120,72,7
20220630,221,133,170,37,0,0,196,10120,71,6
20220701,238,124,172,50,0,24,211,10165,69,6
20220702,242,118,178,42,0,0,233,10183,68,5
20220703,233,106,174,73,0,0,255,10194,64,4
20220704,223,113,173,83,0,0,285,10214,56,5
20220705,253,108,166,57,0,0,,10251,58,3
20220706,252,125,189,31,0,0,195,10266,60,5
20220707,287,165,209,67,0,0,226,10287,59,4
20220708,275,138,212,128,0,0,331,10315,55,0
20220709,297,155,215,109,0,0,296,10301,54,1
20220710,318,146,221,136,0,0,327,10266,54,0
20220711,313,165,241,118,0,0,314,10231,45,2
20220712,287,197,255,28,0,0,190,10220,47,7
20220713,253,209,248,63,0,0,251,10214,49,6
20220714,272,150,201,122,0,0,299,10228,50,1
20220715,291,132,202,119,0,0,306,10239,49,2
20220716,308,140,216,135,0,0,325,10249,50,0
20220717,371,155,231,132,0,0,299,10248,42,1
20220718,402,177,274,117,0,0,305,10191,33,1
20220719,272,217,309,113,0,8,292,10118,37,2
20220720,242,190,231,29,0,40,175,10158,71,7
20220721,230,158,200,23,0,0,135,10214,68,7
20220722,279,171,201,15,0,4,133,10200,66,7
20220723,290,156,218,87,0,0,258,10186,64,4
20220724,249,179,234,109,0,0,298,10137,60,5
20220725,228,178,214,16,0,0,154,10108,65,7
20220726,221,150,189,20,0,0,144,10193,65,7
20220727,252,137,179,11,0,0,101,10201,64,7
20220728,284,155,204,70,0,0,237,10174,55,6
20220729,270,144,214,73,0,0,248,10184,53,4
20220730,276,159,214,25,0,0,185,10182,62,5
20220731,278,198,237,10,0,0,135,10162,67,7
20220801,269,181,229,52,0,0,205,10180,62,6
20220802,272,183,226,25,0,0,140,10152,71,6
20220803,255,178,225,7,0,0,130,10135,75,6
20220804,233,158,206,77,0,0,224,10154,54,5
20220805,248,143,188,114,0,0,279,10226,44,3
20220806,276,105,176,135,0,0,294,10283,45,0
20220807,297,126,201,135,0,0,294,10258,46,0
20220808,291,158,228,122,0,0,272,10265,53,1
20220809,309,156,224,131,0,0,280,10285,58,0
20220810,333,150,229,133,0,0,287,10254,56,0
20220811,339,157,245,134,0,0,283,10214,49,1
20220812,342,176,258,132,0,0,280,10180,42,1
20220813,331,182,262,125,0,0,265,10137,42,1
20220814,295,182,256,97,0,0,231,10067,40,2
20220815,236,181,238,74,0,0,209,10030,51,4
20220816,244,183,209,4,0,134,105,10074,76,6
20220817,278,167,206,7,0,140,92,10119,87,6
20220818,252,175,226,59,0,0,202,10140,72,6
20220819,260,189,221,80,0,0,221,10148,60,4
20220820,254,133,196,79,0,0,209,10172,64,2
20220821,234,144,199,68,0,0,203,10158,66,4
20220822,265,140,187,35,0,0,130,10138,76,5
20220823,291,178,221,38,0,0,158,10140,80,6
20220824,218,200,246,80,0,246,212,10162,66,5
20220825,252,178,198,15,0,24,88,10175,86,6
20220826,253,113,182,87,0,0,227,10192,69,3
20220827,244,156,204,91,0,0,196,10190,64,3
20220828,233,138,191,66,0,0,185,10218,66,3
20220829,244,156,194,26,0,0,145,10228,64,7
20220830,247,135,189,58,0,0,175,10230,66,5
20220831,237,138,192,57,0,0,155,10236,42,1
20220901,242,152,194,7,0,40,93,10192,70,7
20220902,237,163,202,1,0,0,92,10125,78,8
20220903,246,150,194,58,0,88,149,10095,78,5
20220904,228,158,202,29,0,26,146,10143,73,7
20220905,222,145,186,39,0,90,115,10152,80,5
20220906,213,149,186,28,0,194,105,10116,89,5
20220907,201,140,176,64,0,90,149,10084,86,5
20220908,221,130,166,18,0,62,84,10041,93,8
20220909,225,147,184,29,0,68,139,10063,85,7
20220910,234,124,174,38,0,0,146,10155,82,4
20220911,262,124,179,41,0,0,148,10179,83,4
20220912,188,148,205,44,0,0,142,10119,74,7
20220913,220,159,174,0,0,58,67,10106,83,8
20220914,191,144,182,63,0,0,164,10077,78,5
20220915,177,126,158,17,0,0,114,10129,68,8
20220916,176,104,141,66,0,0,162,10182,60,4
20220917,180,60,118,111,0,0,201,10225,57,1
20220918,186,77,128,56,0,0,142,10216,67,6
20220919,198,116,151,16,0,2,110,10246,73,8
20220920,212,88,143,47,0,0,130,10262,72,5
20220921,207,136,174,29,0,0,106,10256,66,8
20220922,189,96,152,68,0,30,152,10199,77,4
20220923,189,144,166,15,0,0,88,10152,81,7
20220924,167,90,139,72,0,0,142,10171,74,3
20220925,157,89,128,65,0,16,143,10181,67,4
20220926,150,111,134,38,0,0,105,10033,72,8
20220927,156,86,118,16,0,16,85,10017,77,6
20220928,169,52,104,56,0,0,104,10004,73,4
20220929,167,59,114,57,0,0,126,10041,73,5
20220930,194,74,121,3,0,82,63,10055,89,7
20221001,186,105,149,62,0,2,125,10076,77,5
20221002,184,130,158,46,0,0,113,10208,75,5
20221003,183,70,127,21,0,0,105,10254,80,6
20221004,188,121,152,3,0,0,59,10170,83,8
20221005,192,154,171,6,0,12,45,10128,76,6
20221006,195,77,134,76,0,0,133,10272,76,1
20221007,172,122,158,43,0,22,101,10197,82,4
20221008,183,67,119,94,0,0,152,10232,76,0
20221009,161,56,119,85,0,32,143,10176,75,3
20221010,165,92,127,72,0,0,131,10184,72,3
20221011,178,44,104,89,0,0,137,10268,73,1
20221012,178,50,114,19,0,36,84,10208,81,7
20221013,163,118,148,25,0,0,61,10157,89,6
20221014,178,93,128,0,0,6,44,10101,91,6
20221015,170,77,128,52,0,0,95,10039,83,5
20221016,193,104,137,49,0,58,81,10099,79,4
20221017,180,135,164,58,0,0,93,10173,78,5
20221018,172,60,120,83,0,0,120,10274,80,2
20221019,167,113,142,48,0,12,97,10193,83,4
20221020,182,141,154,22,0,110,42,10068,91,5
20221021,186,95,138,25,0,96,67,10016,90,7
20221022,194,122,154,32,0,68,79,10089,86,6
20221023,187,131,162,24,0,196,61,10009,90,8
20221024,178,119,153,60,0,30,93,10028,83,6
20221025,191,106,142,42,0,0,72,10109,86,5
20221026,208,137,164,46,0,24,72,10110,81,4
20221027,189,119,164,19,0,2,61,10140,87,5
20221028,218,127,158,42,0,10,71,10152,82,4
20221029,170,106,162,42,0,6,75,10138,85,7
20221030,175,129,149,6,0,2,41,10147,86,5
20221031,161,98,137,37,0,90,60,10107,89,5
20221101,152,110,136,29,0,26,56,10058,81,6
20221102,127,80,116,32,0,344,62,10127,78,4
20221103,128,100,113,16,0,20,34,10010,90,7
20221104,139,64,96,70,0,2,84,10105,82,3
20221105,141,57,98,0,0,168,21,10135,92,8
20221106,153,93,117,10,0,66,22,10033,92,6
20221107,153,95,124,0,0,26,25,10033,86,7
20221108,150,121,137,17,0,62,46,9976,81,6
20221109,154,102,126,59,0,0,74,10068,81,5
20221110,165,93,123,1,0,0,22,10201,80,6
20221111,169,134,149,9,0,0,35,10258,79,8
20221112,144,88,128,41,0,0,49,10265,91,4
20221113,140,94,119,25,0,2,47,10195,95,6
20221114,147,74,107,6,0,30,27,10085,96,7
20221115,127,82,114,15,0,122,21,9960,88,6
20221116,119,71,99,33,0,160,50,9884,90,6
20221117,127,86,102,14,0,2,41,9838,84,7
20221118,108,71,99,49,0,0,54,10010,75,6
20221119,114,73,91,10,0,58,30,10124,79,7
20221120,92,40,77,44,0,2,53,10085,87,5
20221121,108,37,65,0,0,58,8,9940,89,7
20221122,126,50,79,49,0,20,50,9889,83,4
20221123,132,26,76,43,0,8,48,9920,82,4
20221124,125,59,96,4,0,14,33,10025,83,4
20221125,128,72,98,64,0,0,53,10151,80,1
20221126,134,75,102,10,0,38,30,10226,85,7
20221127,119,93,113,0,0,6,,10123,94,8
20221128,73,44,82,26,0,4,35,10095,92,4
20221129,99,43,58,0,0,0,9,10201,94,8
20221130,72,60,80,23,0,0,,10255,92,5
20221201,76,37,55,19,0,0,30,10291,96,8
20221202,77,39,58,17,0,2,28,10259,90,7
20221203,61,47,62,0,0,2,13,10206,77,8
20221204,83,39,50,0,0,0,13,10171,82,8
20221205,73,38,60,1,0,0,15,10221,86,8
20221206,64,29,51,42,0,0,40,10240,84,5
20221207,40,11,38,47,0,0,42,10212,86,3
20221208,37,-32,4,61,0,4,48,10119,85,0
20221209,50,-37,0,16,0,0,26,10089,88,4
20221210,4,-43,3,58,0,0,46,10101,89,1
20221211,14,-38,-17,0,0,2,12,10080,97,8
20221212,17,-32,-9,0,0,0,12,10088,94,7
20221213,13,-19,-1,0,0,0,12,10074,84,5
20221214,22,-21,-4,22,0,0,29,10062,83,4
20221215,32,-59,-19,61,0,0,47,10116,82,0
20221216,50,-47,-8,57,0,0,45,10185,88,1
20221217,125,-54,-2,13,0,2,24,10223,88,5
20221218,133,-39,43,0,0,80,12,10161,94,6
20221219,112,8,70,0,0,60,12,10065,93,8
20221220,122,86,99,50,0,0,42,10072,86,4
20221221,120,43,82,10,0,2,22,10063,90,7
20221222,139,58,89,0,0,94,12,10034,93,8
20221223,109,64,102,8,0,48,20,10027,89,6
20221224,118,66,88,0,0,20,12,10096,91,4
20221225,82,68,93,3,0,16,16,10078,89,8
20221226,114,34,58,58,0,0,46,10156,80,2
20221227,120,19,67,5,0,62,18,10193,88,6
20221228,98,57,88,0,0,36,12,10019,91,8
20221229,141,81,89,15,0,6,25,10010,76,4
20221230,140,45,93,1,0,18,14,9971,86,7
20221231,123,89,114,0,0,62,13,9995,87,8
20230101,93,100,112,0,0,46,21,10080,81,7
20230102,134,52,72,52,0,4,44,10169,86,3
20230103,139,21,78,0,0,30,9,10186,93,7
20230104,135,92,116,4,0,2,17,10146,82,6
20230105,127,89,112,4,0,24,28,10186,82,8
20230106,114,63,95,22,0,6,34,10138,87,4
20230107,95,67,91,0,0,32,8,10006,84,7
20230108,96,65,80,2,0,72,14,9928,87,6
20230109,130,44,70,24,0,20,38,10014,80,4
20230110,122,39,84,0,0,36,10,10083,89,7
20230111,127,68,95,31,0,40,27,10085,81,5
20230112,115,72,99,1,0,38,14,10031,83,7
20230113,126,72,93,49,0,84,44,10088,72,2
20230114,82,60,93,1,0,16,19,10006,84,8
20230115,53,38,60,25,0,108,33,9984,77,4
20230116,8,27,40,11,0,0,28,9864,83,6
20230117,52,-50,-21,7,0,0,35,9899,86,4
20230118,56,-38,7,60,0,0,60,9983,84,2
20230119,63,-27,14,60,0,0,62,10082,83,3
20230120,62,-13,25,53,0,2,52,10192,79,2
20230121,37,-14,24,64,0,0,58,10325,84,1
20230122,52,-47,-5,36,0,0,50,10359,94,1
20230123,50,-84,-16,63,0,2,64,10379,85,4
20230124,61,-51,-1,29,0,0,45,10391,81,5
20230125,80,-33,14,0,0,28,18,10333,97,7
20230126,73,-6,37,8,0,0,34,10305,83,6
20230127,62,39,56,2,0,0,37,10309,79,6
20230128,89,17,40,0,0,0,30,10321,76,8
20230129,99,35,62,0,0,0,25,10267,88,6
20230130,125,50,75,56,0,0,65,10251,74,3
20230131,104,33,79,18,0,0,40,10251,75,6
20230201,114,43,73,25,0,0,50,10251,75,5
20230202,136,60,87,4,0,0,37,10273,80,7
20230203,94,77,107,40,0,0,61,10315,81,6
20230204,89,81,88,1,0,0,23,10382,82,8
20230205,116,33,61,61,0,0,71,10447,74,2
20230206,88,8,62,81,0,0,87,10421,74,3
20230207,83,-17,35,51,0,0,77,10390,83,2
20230208,109,-39,22,80,0,0,95,10348,83,1
20230209,91,-20,45,45,0,0,72,10329,80,4
20230210,103,-19,36,46,0,0,77,10367,82,4
20230211,87,12,58,0,0,0,25,10368,79,8
20230212,126,71,79,0,0,0,20,10374,79,8
20230213,122,31,78,83,0,0,99,10341,77,3
20230214,156,-2,60,49,0,2,81,10308,86,3
20230215,134,12,84,74,0,4,94,10235,79,5
20230216,152,60,97,0,0,0,38,10202,88,7
20230217,128,93,122,5,0,0,49,10216,84,8
20230218,138,103,116,0,0,2,23,10215,81,8
20230219,138,64,101,59,0,0,94,10264,74,3
20230220,98,59,98,18,0,0,62,10242,83,7
20230221,97,75,87,0,0,30,28,10180,88,8
20230222,89,57,77,0,0,4,31,10120,88,8
20230223,107,58,73,3,0,0,46,10183,80,7
20230224,82,-13,47,16,0,0,59,10142,78,6
20230225,82,33,58,14,0,0,66,10176,73,5
20230226,87,12,47,36,0,0,87,10272,66,3
20230227,80,1,44,19,0,0,70,10318,71,4
20230228,86,12,46,3,0,0,36,10327,80,5
20230301,96,40,63,14,0,0,56,10292,77,8
20230302,69,15,55,80,0,0,130,10261,70,3
20230303,72,35,52,0,0,0,41,10291,69,8
20230304,54,46,59,0,0,0,44,10295,67,8
20230305,101,32,43,0,0,0,41,10193,67,8
20230306,57,3,52,1,0,56,63,10061,81,8
20230307,38,19,38,2,0,52,56,10003,86,7
20230308,116,5,21,0,0,102,27,9916,93,8
20230309,56,14,65,0,0,58,40,9910,95,8
20230310,101,27,42,7,0,0,70,9971,81,7
20230311,142,-22,40,40,0,12,119,10095,77,7
20230312,145,32,87,13,0,10,74,10057,87,6
20230313,103,99,122,15,0,20,86,9905,78,8
20230314,102,41,72,52,0,2,135,10032,69,5
20230315,140,0,51,26,0,34,96,10157,85,4
20230316,152,41,91,15,0,4,93,10062,82,7
20230317,154,100,126,25,0,22,73,10039,86,7
20230318,111,89,122,25,0,18,104,10062,87,7
20230319,133,59,85,19,0,2,93,10159,74,7
20230320,148,76,104,0,0,26,43,10166,87,8
20230321,158,88,118,18,0,12,85,10089,82,8
20230322,155,102,130,15,0,10,101,10009,80,7
20230323,146,88,122,29,0,32,113,9970,79,7
20230324,149,75,111,38,0,110,121,9981,83,5
20230325,92,75,112,59,0,68,159,10036,71,6
20230326,119,63,78,0,0,4,57,10078,81,8
20230327,110,41,80,71,0,2,181,10252,58,6
20230328,140,43,77,0,0,20,46,10188,80,8
20230329,165,70,105,0,0,64,38,10087,91,8
20230330,153,103,134,35,0,72,144,10030,79,7
20230331,119,99,126,3,0,112,64,9891,91,8
20230401,116,88,103,6,0,0,87,10069,82,8
20230402,123,65,91,44,0,0,108,10259,70,5
20230403,149,12,68,81,0,0,202,10301,68,2
20230404,143,3,76,118,0,0,241,10273,60,0
20230405,150,43,93,30,0,34,141,10208,73,7
20230406,159,87,118,19,0,24,104,10145,83,6
20230407,159,41,100,106,0,0,236,10209,62,3
20230408,164,39,99,92,0,0,214,10255,70,2
20230409,160,53,108,75,0,62,205,10214,71,6
20230410,133,101,131,39,0,56,125,10101,76,7
